 @RELATION wicked

@ATTRIBUTE document STRING
@ATTRIBUTE class {Yes, no}

@DATA

"لحماية جهازك من الوقوع ضحية لعمليات الاختراق" ,no
" طرق و كيفية حماية الجهاز من الاختراق",no
"برنامج حماية من الفيروسات و العمل على ابقائه محدث دائماً  عدم تثبيت أو تحميل برامج غير معروفة المصدر",no 
"برامج الحماية من الفيروسات عدم حفظ كافة بياناتك مثل كلمات المرور والحسابات وغيرها في مكان يسهل تخمينه ",no 
"حماية الجهاز من الفيروسات كيف يمكن اختراق المواقع",no    
"وضع كلمة مرور قوية",no
"حماية جهازك عن طريق تجميد النظام ببرنامج",no
"حماية الجهاز و التخلص من ملفات التجسس  ببرنامج",no
"حماية جهازك من الفيروسات عن طريق التلخص من الفيروس ",no
"حماية جهازك من الفيروسات عن طريق برامج",no
"حماية  الاجهزة عن طريق الجدار الناري",no
"حماية جهازك من سيرفرات المخفية بأستخدام برنامج",no
"دورة حماية الاجهزة و الشبكات من الاختراق",no
"دورة حماية الاجهزة من الاختراق  فيما يتعلق بحماية اجهزة الحاسب من قرصنة",no
"الحماية من الاختراق المتقدم تفعيل الجدار الناري و عمل تحديث للويندوز",no
"استخدام برنامج لمكافحة برامج التجسس وأداة إزالة",no
"برنامج يقوم بحماية شبكة الويفي الخاصة بك من الاختراق من خلال تشفيرة بشكل مميز وبذلك لا يتمكن اي شخص من الإتصال بشبكتك",no
"يقوم بحماية خصوصيتك من خلال اخفاء الايبي",no
"برنامج جميل جدا و مجانى فى عالم حمايه  ",no
" التي يتباهي بها الهاكرز مثل اختراق مواقع و اجهزة و تدمير سيرفرات",Yes
" شروحات اختراق المواقع هو قسم يختص بشروحات اختراق المواقع و السيرفرات للوصول إلى معلومات محمية",Yes
"اختراق الاجهزة و الدمج",Yes
"مختص بكل ما يتعلق بـ اختراق الايميل من هكر الايميل و برامج  هكر الايميل و شروحات اختراق الايميل و برامج اختراق الايميل",Yes
"طلب المساعدة لاختراق موقع او بريد إلكتروني",Yes
"كيف تمنع المواقع من التجسس عليك", no
" أكبر منتدى هكر عربي مختص بتعليم الاختراق",Yes
"الخاصه باختراق الشبكات و التجسس عليها و معرفة معلومات عنها ",Yes
"قسم يتضمن أفضل الدورات الإحترافية في  الإختراق",Yes
"تعليم فنون اختراق الاجهزة و الدمج و التشفير و كل ما يخص اختراق الاجهزة و التجسس عليها",Yes
"قسم حماية الاجهزة هو قسم يختص بحماية الاجهزة من التجسس أو الاختراق والفيروسات حماية الاجهزة ",no
"منتدى حماية الأجهزة",no
"برامج  تسجيل الإختراقات برامج هكر",Yes
"شرح طريقة اختراق الفيس بوك  عن طريق الصفحات المزورة",Yes
"لإستخدامها فيما بعد في كسر كلمات المرور  ",Yes
" طرق و أساليب حماية حساب فيسبوك من السرقة",no
"لتحمي نفسك من الصفحات المزورة",no
"شرح حماية حساب فيس بوك",no
"تامين حسابك من التطبيقات الضارة",no
"كيفية حماية حساب فيس بوك من السرقة",no
"مدونة اختراق  لا تتعلم لتخترق اخترق للتتعلم الاختراق",Yes
"يمكنك من خلالها فتح بعض الشبكات",Yes
"يعمل على فك تشفير الوايرلس للجوال",Yes
"برنامج كسر كلمة السر للوايرلس   ",Yes
"اليك البرنامج الذي تستطيع من خلاله ان تعرف كلمة سر الوايرلس لاي  مودم   لتتمكن من الوصول الى الانترنت بكسر كلمة السر",Yes
"ليتمكن من فك شفرة الوايرلس و اعطاك كلمة السر ",Yes
"لكشف باسسورد الشبكة افتح شبكات الواي فاي المغلقة بكلمة سر و مشفر  ",Yes
"لاندرويد هو من أشهر برامج الاختراق للوايرلس للأندرويد  للتحميل برابط مباشر هنا",Yes
"حماية كافةالاجهزة الشخصية اللوحية",no
"إختراق المواقعو السيرفرات شروحات إختراق المواقعو السيرفرات و المنتديات و أجدد أدوات إختراق المواقع و أجدد الثغرات",Yes
"عمل قفل لمتصفح جوجل كروم بكلمة سر بدون برامج",no
" اختراق المواقع الاحترافية",Yes
"دورة مبسطة للمبتدئين توضح عملية الاختراق و عن كيفية الاختراق",Yes
"بهذه الطريقة تستطيع الحفاظ على خصوصيتك و حماية المتصفح من المتطفلين",no
" اختراق المواقع للمبتدئين",Yes
"شرح استغلال الثغرات في اختراق المواقع ",Yes
"الاختراق عن طريق الثغرات",Yes
"اجراء فحص لشبكتك لمعرفة ما اذا كانت هناك اجهزة متصلة بها و من منعها",no
"موقع لتدريب الاختراق الشبكات",Yes
" اختبارات الاختراق و فحص القدرات الاحتراف",Yes
" طريقة إختراق المواقع بطريقة جد سهلة",Yes
